band,variable_code,variable_description,units,SOURCE
32,g16esa3a,Closed to open (>15%) broadleaved forest regularly flooded (semi-permanently or temporarily) - Fresh or brackish water,Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
33,g17esa3a,Closed (>40%) broadleaved forest or shrubland permanently flooded - Saline or brackish water,Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
34,g18esa3a,"Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil - Fresh, brackish or saline water",Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
35,g19esa3a,Artificial surfaces and associated areas (Urban areas >50%),Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
36,g20esa3a,Bare areas,Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
37,g21esa3a,Water bodies,Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
38,g22esa3a,Permanent snow and ice,Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
39,gabhws3a,Percent coverage Albeluvisols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
40,gacgem3a,Global accessibility map,Time (hours and days),http://forobs.jrc.ec.europa.eu/products/gam/description.php
41,gachws3a,Percent coverage Acrisols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
42,galhws3a,Percent coverage Alisols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
43,ganhws3a,Percent coverage Andosols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
44,garhws3a,Percent coverage Arenosols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
45,gathws3a,Percent coverage Anthrosols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
46,gchhws3a,Percent coverage Chernozems,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
47,gclhws3a,Percent coverage Calcisols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
48,gcmhws3a,Percent coverage Cambisols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
49,gcrhws3a,Percent coverage Cryosols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
50,geaisg3a,Geological ages based on the surface geology,Rock type classes,http://85.214.253.67/dkwk-stable/doku.php?id=wiki:geaisg3
51,gflhws3a,Percent coverage Fluvisols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
52,gfrhws3a,Percent coverage Ferralsols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
53,gglhws3a,Percent coverage Gleysols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
54,ggyhws3a,Percent coverage Gypsisols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
55,ghshws3a,Percent coverage Histosols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
56,gkshws3a,Percent coverage Kastanozems,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
57,glcesa3a,Land Cover classes based on the MERIS FR images,Land cover classes (based on UN-LCCS),https://www.esa-landcover-cci.org/?q=node/158; http://www.fao.org/docrep/003/x0596e/x0596e00.HTM
58,glcjrc3a,Global Land Cover map for the year 2000 (GLC2000),Land cover classes (based on UN-LCCS),http://forobs.jrc.ec.europa.eu/products/glc2000/legend.php
59,glphws3a,Percent coverage Leptosols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
60,glvhws3a,Percent coverage Luvisols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
61,glwwwf3a,Global Land Water Database classes,"12 classes as follows: (1) Lake; (2) Reservoir; (3) River; (4) Freshwater Marsh, Floodplain; (5) Swamp Forest, Flooded Forest; (6) Coastal Wetland (incl. Mangrove, Estuary, Delta, Lagoon); (7) Pan, Brackish/Saline Wetland; (8) Bog, Fen, Mire (Peatland); (9) Intermittent Wetland/Lake; (10) 50-100% Wetland; (11) 25-50% Wetland; (12) 0-25% Wetland.",http://www.fao.org/land-water/land/land-governance/land-resources-planning-toolbox/category/details/en/c/1043160/
62,glxhws3a,Percent coverage Lixisols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
63,gnthws3a,Percent coverage Nitisols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
64,gphhws3a,Percent coverage Phaeozems,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
65,gplhws3a,Percent coverage Planosols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
66,gpthws3a,Percent coverage Plinthosols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
67,gpzhws3a,Percent coverage Podzols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
68,grghws3a,Percent coverage Regosols,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
69,gschws3a,Percent coverage Solonchaks,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
70,gsnhws3a,Percent coverage Solonetz,Percentage,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/
